area,theme,topic,learning_objective
Analytics and Modeling,Geocomputational Methods & Models,Simulation Modeling,"Explain how simulation models can be used to provide advance scientific knowledge in different geographic subfields (transportation, health geography, economic geography, urban and regional analysis, earth systems science)"
Analytics and Modeling,Methodological Context,Changing Context of GIScience,
Analytics and Modeling,Methodological Context,Geospatial Analysis & Model Building,
Analytics and Modeling,Methodological Context,Spatial Analysis as a Process,
Analytics and Modeling,Network & Location Analysis,Intro to Network & Location Analysis,
Analytics and Modeling,Network & Location Analysis,Location & Service Area Problems,
Analytics and Modeling,Network & Location Analysis,Location-allocation Modeling,Analyse the variation in accessibility measures statistically and across space.
Analytics and Modeling,Network & Location Analysis,Location-allocation Modeling,Explain how the ecological fallacy and modifiable areal unit problem relates to the use of aggregate measures of accessibility.
Analytics and Modeling,Network & Location Analysis,Location-allocation Modeling,Identify the four classes of accessibility models and measures. Students can explain the general formulation of each of these models.
Analytics and Modeling,Network & Location Analysis,Location-allocation Modeling,Implement and interpret the four basic spatial accessibility measures in a GIS using available tools.
Analytics and Modeling,Network & Location Analysis,Location-allocation Modeling,Provide examples of situations where it would be appropriate to use one form of distance measure vs another in the calculation of accessibility measures.
Analytics and Modeling,Network & Location Analysis,Location-allocation Modeling,"Sketch the different conceptualizations of space (data models) and distance on paper. Identify and discuss limitations associated with each type of analysis, including the necessary data required to utilize a given distance measure."
Analytics and Modeling,Network & Location Analysis,Modelling Accessibility,Analyse the variation in accessibility measures statistically and across space.
Analytics and Modeling,Network & Location Analysis,Modelling Accessibility,Explain how the ecological fallacy and modifiable areal unit problem relates to the use of aggregate measures of accessibility.
Analytics and Modeling,Network & Location Analysis,Modelling Accessibility,Identify the four classes of accessibility models and measures. Students can explain the general formulation of each of these models.
Analytics and Modeling,Network & Location Analysis,Modelling Accessibility,Implement and interpret the four basic spatial accessibility measures in a GIS using available tools.
Analytics and Modeling,Network & Location Analysis,Modelling Accessibility,Provide examples of situations where it would be appropriate to use one form of distance measure vs another in the calculation of accessibility measures.
Analytics and Modeling,Network & Location Analysis,Modelling Accessibility,"Sketch the different conceptualizations of space (data models) and distance on paper. Identify and discuss limitations associated with each type of analysis, including the necessary data required to utilize a given distance measure."
Analytics and Modeling,Network & Location Analysis,Network Route & Tour Problems,
Analytics and Modeling,Network & Location Analysis,The Classic Transportation Problem,"Define the classic transportation problem analytically using graphs, equations, and matrices."
Analytics and Modeling,Network & Location Analysis,The Classic Transportation Problem,"Delineate two major steps toward solving the classic transportation problem as linear program, and use simplex methods to get the optimal solution."
Analytics and Modeling,Network & Location Analysis,The Classic Transportation Problem,Demonstrate how to model the real-world transportation problems as linear programs.
Analytics and Modeling,Network & Location Analysis,The Classic Transportation Problem,"Describe the major contributions of GIS to the classic transportation problem, and new opportunities and challenges presented by the 21st century."
Analytics and Modeling,Network & Location Analysis,The Classic Transportation Problem,"Distinguish between balanced and unbalanced problems, and explain why, if supply equals demand, there will always be a feasible solution."
Analytics and Modeling,Space-Time Analysis & Modeling,Accounting for Errors in Space-Time Modeling,
Analytics and Modeling,Space-Time Analysis & Modeling,Capturing Spatio-Temporal Dynamics in Computational Modeling,Compare and contrast different options of combining spatiotemporal dynamics modeling with GIS
Analytics and Modeling,Space-Time Analysis & Modeling,Capturing Spatio-Temporal Dynamics in Computational Modeling,Describe different computational approaches to model spatiotemporal dynamics
Analytics and Modeling,Space-Time Analysis & Modeling,Capturing Spatio-Temporal Dynamics in Computational Modeling,Describe the importance and challenges of capturing spatiotemporal dynamics in computational modeling
Analytics and Modeling,Space-Time Analysis & Modeling,Capturing Spatio-Temporal Dynamics in Computational Modeling,Discuss important concepts related to spatiotemporal dynamics in computational modeling
Analytics and Modeling,Space-Time Analysis & Modeling,Capturing Spatio-Temporal Dynamics in Computational Modeling,Evaluate and apply critical thinking to spatiotemporal problems
Analytics and Modeling,Space-Time Analysis & Modeling,Capturing Spatio-Temporal Dynamics in Computational Modeling,Explain when spatiotemporal dynamics can be employed to study geographical process.
Analytics and Modeling,Space-Time Analysis & Modeling,Computational Movement Analysis,"Discuss and apply the crucial task of segmentation in Computational Movement Analysis, especially for separating stops from moves."
Analytics and Modeling,Space-Time Analysis & Modeling,Computational Movement Analysis,"Discuss the importance and implications of the classic spatial data quality concepts precision, accuracy, and vagueness for the movement analysis process."
Analytics and Modeling,Space-Time Analysis & Modeling,Computational Movement Analysis,"Discuss why movement should be analyzed in its geographic context. Conceptualize and sketch computational approaches for relating movement data to geographic context data, considering different conceptual models for the movement and the movement spaces."
Analytics and Modeling,Space-Time Analysis & Modeling,Computational Movement Analysis,"Explain and apply basic trajectory operations.
Discuss and apply the crucial task of segmentation in Computational Movement Analysis, especially for separating stops from moves.
Explain at least three different trajectory similarity measures in their own words and by drawing simple sketches. Assess the suitability of different trajectory similarity measures for different types of given movement data."
