Competency,Topic,Sub-topic,Level,learning_objective
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)","Ability to customize web applications look and feel with the use of CSS, SESS, and other Style Sheets",MASTERY/UGP (M/U),"Design customized web applications for interactive maps with the use of Cascading Style Sheets (CSS), Syntactically Awesome Style Sheets (SASS), Leaner Style Sheets (LESS), and other Style Sheets."
DATA VISUALIZATION (DV),"T11. Interactive (e.g., web page, story map)",Increase functions by adding statistical and analytical tools,MASTERY/UGP (M/U),Generate interactive charts and graphics using statistical and analytical tools to expand the functionality of maps.
DATA VISUALIZATION (DV),"T12. Animations (e.g., virtual tour, animated story maps)","Understanding of chronology, that data can be collected over time and then animated",Prerequisites (P),Explain the concept of chronology as it relates to visualization (that data can be collected over time and then animated).
DATA VISUALIZATION (DV),"T12. Animations (e.g., virtual tour, animated story maps)",Common forms of story maps,Foundational (F),Identify common types of story maps and explain how each is used to display information.
DATA VISUALIZATION (DV),"T12. Animations (e.g., virtual tour, animated story maps)",Types of animation,Foundational (F),"Summarize types of animation (e.g., spatial movement, time series and data extrusion)."
DATA VISUALIZATION (DV),"T12. Animations (e.g., virtual tour, animated story maps)",Ability to create products that lead the viewer through a web interface calling attention to new information along the way,Application (A),Design products that lead the viewer through a web interface calling attention to new information along the way.
DATA VISUALIZATION (DV),"T12. Animations (e.g., virtual tour, animated story maps)","Ability to create complete products that convey a wealth of information through use of not just maps, but graphics, pictures, and text",MASTERY/UGP (M/U),"Integrate graphics, pictures, and text with a map to produce a more complete product that conveys more information than a traditional map."
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Additive time series,Prerequisites (P),Demonstrate understanding of temporal representation fundamentals (such as additive time series and interval time series).
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Interval times series,Prerequisites (P),
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Exact time vs time span,Prerequisites (P),Distinguish between exact time and time span.
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Knowledge of how to organize temporal data,Foundational (F),Recall concepts and principles of temporal data organization.
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Entry level understanding of normalizing data,Foundational (F),Recall concepts and principles for normalizing data.
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Restrictions of time enabled data and the limitations that may arise,Application (A),Discern restrictions of time enabled data and the limitations that may arise.
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Gaps or missing information,Application (A),Determine gaps or missing information in temporal data.
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Inconsistent record keepings,Application (A),"Discern and respond to inconsistent record keepings (e.g., date and time formats)."
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Inconsistent date and time formats,Application (A),
DATA VISUALIZATION (DV),"T13. Temporal Representation (e.g., conceptualization of time)",Ability to normalize time that has not been collected consistently or accurately and make sense of it,MASTERY/UGP (M/U),Establish standards for normalizing time when data has not been collected consistently or accurately. 
DATA VISUALIZATION (DV),"T14. Direction (e.g., rotation, orientation)",Understanding of directionality on a map,Prerequisites (P),Explain directionality on a map and how to use the common North Arrow.
DATA VISUALIZATION (DV),"T14. Direction (e.g., rotation, orientation)",Entry level understanding of projections,Foundational (F),Summarize the different types of map projections and how each is used.
DATA VISUALIZATION (DV),"T14. Direction (e.g., rotation, orientation)",Comprehensive understanding of projections and best types for given situations,Application (A),Illustrate the best type of projections for a given situation.
DATA VISUALIZATION (DV),"T14. Direction (e.g., rotation, orientation)",Ability to Challenge understandings of common map displays by changing orientation to adapt a new perspective,MASTERY/UGP (M/U),Rearrange orientation of common map displays to adapt a new perspective.
DATA VISUALIZATION (DV),"T14. Direction (e.g., rotation, orientation)",Ability to Challenge understandings of common map displays by changing orientation to adapt a new perspective,MASTERY/UGP (M/U),Generate new map displays that challenge current common practices in order to adapt to new perspectives.
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,"Understanding that the world is spherical, and most maps are not",Prerequisites (P),Demonstrate understanding of projection and coordinate systems fundamentals (to include knowledge that the world is spherical whereas most maps are not).
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,2D/3D,Prerequisites (P),Distinguish between 2D and 3D.
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,2D/3D,Prerequisites (P),Summarize how projections and coordinate systems taken from a 3D figure translate to a 2D image.
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Mathematical coordinate planes,Prerequisites (P),Demonstrate basic knowledge of mathematical coordinate planes (or the Cartesian plane).
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Geometry,Prerequisites (P),Demonstrate a basic understanding of Euclidean geometry fundamentals and use to represent the spatial component of geographic features.
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,"Differentiate between the basics of projections, coordinate systems, and datums",Foundational (F),"Distinguish between the basics of projections, coordinate systems, and datums."
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Common types of projections,Foundational (F),List common types of Military Grid Reference System (MGRS) projections and coordinate systems.
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Common coordinate systems,Foundational (F),
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Military Grid Reference System (MGRS),Foundational (F),
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Why a Projected Coordinate System (PCS)vis necessary for 2D maps,Foundational (F),Summarize why a Projected Coordinate System (PCS) is necessary for 2D maps.
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Which projection is appropriate for a scale and extent,Application (A),Determine which projection(s) is/are appropriate for the scale and extent for a given project.
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,When to use a Projected Coordinate System (PCS) versus Geographic Coordinate System (GCS),Application (A),Discern when to use a Projected Coordinate System (PCS) versus Geographic Coordinate System (GCS).
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Use of Datums,Application (A),Illustrate how to use datums.
DATA VISUALIZATION (DV),T15. Projection and Coordinate Systems,Ability to understand the absolute most important aspects of the features being mapped and picking the most optimal projection to preserve the integrity of those features best,MASTERY/UGP (M/U),Judge the most important aspects of the features being mapped and select the most optimal projection to preserve the integrity of those features.
DATA VISUALIZATION (DV),"T16. Elements of a Map (e.g., North Arrow, Title, Scale Bar)",Understanding of the purpose of common map elements,Prerequisites (P),"List the common elements that should be included in a map (north arrow, scale, legend, sourcing, title, projection/coordinate system data)."
DATA VISUALIZATION (DV),"T16. Elements of a Map (e.g., North Arrow, Title, Scale Bar)",Standard formats for common map elements,Foundational (F),"Summarize how the following elements are incorporated into a map: north arrow, scale, legend, sourcing, title, projection notation."
DATA VISUALIZATION (DV),"T16. Elements of a Map (e.g., North Arrow, Title, Scale Bar)",Placement of elements on a map in standard locations in conjunction with each other,Application (A),Compare and contrast placement of elements on a map in standard locations in conjunction with each other.
DATA VISUALIZATION (DV),"T16. Elements of a Map (e.g., North Arrow, Title, Scale Bar)",Ability to adjust the placement and design of such features adaptively to benefit the readability of the final product,MASTERY/UGP (M/U),"Evaluate current standards for using common map elements (e.g., scale, legend, projection notation) and design new techniques that improve readability and usability of final products."
DATA VISUALIZATION (DV),T17. Symbol Selection/Representation of Features,Common symbology,Prerequisites (P),List common symbology used and explain their significance.
DATA VISUALIZATION (DV),T17. Symbol Selection/Representation of Features,Feature size relevance,Prerequisites (P),Explain the relevance of feature size.
DATA VISUALIZATION (DV),T17. Symbol Selection/Representation of Features,Natural vs Manmade vs human behavior vs natural occurrences,Prerequisites (P),"Distinguish appropriate symbology for natural, manmade, human behavior and natural occurrences."
